ja,I,ich
być,to be,sein
mieć,to have,haben
ten,this,dieser
tam,there,dort
co,what,was
który,which,welchen
w,in,im
jaki,what kind of,welche
ale,but,aber
tak,yes,ja
z,with,mit
dla,for,für
też,also,auch
jak,how,wie
do,to,zu
tego,this,das
już,already,schon
nie,not,nicht
na,on,auf
coś,something,etwas
tylko,only,nur
bo,because,denn
przez,through,durch
jeszcze,still,noch
może,maybe,vielleicht
gdy,when,wenn
takie,such,solche
wtedy,then,dann
czas,time,Zeit
teraz,now,jetzt
tylko,just,nur
już,now,schon
tylko,only,nur
także,also,ebenfalls
tam,there,dort
raz,once,einmal
tobie,you,dir
swoje,own,dein
ludzi,people,Leute
ci,these,diese
lata,years,Jahre
świat,world,Welt
jeszcze,more,mehr
twoje,your,dein
życie,life,Leben
będzie,will be,wird sein
wciąż,still,immer noch
coś,something,etwas
aż,until,bis
gdzie,where,wo
nim,him,ihm
czyli,that is,das heißt
naprawdę,really,wirklich
byłem,I was,ich war
cały,whole,ganz
wasze,your,euer
wszystko,everything,alles
może,can,können
go,him,ihn
jeszcze,yet,noch
mógł,could,konnte
trzeba,have to,müssen
przed,before,vor
czasie,time,Zeit
nim,before,bevor
nas,us,uns
takiego,such,solche
jakieś,any,irgendeine
ich,their,ihre
raz,time,einmal
czemu,why,warum
przede,before,vor
trzecia,third,dritte
oto,here is,hier ist
każde,each,jede
wcale,not at all,gar nicht
sumie,total,insgesamt
całkiem,quite,ziemlich
swoje,your own,dein
mogą,they can,sie können
robić,do,machen
możesz,you can,du kannst
wszystko,everything,alles
żadne,no,keine
przed,in front of,vor
tym,this,diesem
muszę,I have to,ich muss
potem,later,danach
każdy,every,jeder
być,be,sein
ludzie,people,Leute
się,myself,sich
mógł,could,konnte
trzeba,you have to,man muss
tej,this,diese
mogą,they can,sie können
dwie,two,zwei
coś,something,etwas
razem,together,zusammen
