accommodate,zakwaterować
addiction,uzależnienie
aggressive,agresywny
ambition,ambicja
anxiety,niepokój
appreciate,doceniać
artificial,sztuczny
assertive,asertywny
atmosphere,atmosfera
bankrupt,bankrut
boundary,granica
burden,obciążenie
ceremony,ceremonia
challenge,wyzwanie
circumstance,okoliczność
civilization,cywilizacja
climate,klimat
collaboration,współpraca
combination,połączenie
compassion,współczucie
compromise,kompromis
confrontation,konfrontacja
conscience,sumienie
consistent,konsekwentny
contentment,zadowolenie
controversy,kontrowersja
cooperation,współpraca
credibility,wiarygodność
curiosity,ciekawość
deadline,termin (ostateczny)
dedication,poświęcenie
depression,depresja
determination,determinacja
dignity,godność
discipline,dyscyplina
diversity,różnorodność
efficient,efektywny
eloquent,elokwentny
emphasize,podkreślać
enthusiasm,entuzjazm
essential,niezbędny
exaggerate,wyolbrzymiać
exhilarating,ekscytujący
expertise,wiedza specjalistyczna
extraordinary,nadzwyczajny
facilitate,ułatwiać
flexibility,elastyczność
fortunate,szczęśliwy
fundamental,podstawowy
generosity,hojność
genuine,autentyczny
global,globalny
harmony,harmonia
hypocritical,hipokrytyczny
immerse,zanurzać się
impulse,impuls
incredible,niewiarygodny
individuality,indywidualność
initiative,inicjatywa
inseparable,nierozłączny
inspiration,inspiracja
integrity,integralność
intolerant,nietolerancyjny
intuition,intuicja
investigation,dochodzenie
justice,sprawiedliwość
kindness,życzliwość
leadership,przywództwo
loyalty,lojalność
meaningful,znaczący
moderation,umiarkowanie
motivation,motywacja
notorious,notoryczny
opportunity,możliwość
optimism,optymizm
perspective,perspektywa
phenomenon,fenomen
potential,potencjał
prejudice,uprzedzenie
prestigious,prestiżowy
prosperity,dobrobyt
psychology,psychologia
punctual,punktualny
qualification,kwalifikacja
rational,racjonalny
recommendation,rekomendacja
recovery,odzysk
rejection,odrzucenie
reinforce,wzmacniać
reliable,niezawodny
revelation,objawienie
sacrifice,ofiara
satisfaction,satysfakcja
sensation,doznanie
significance,znaczenie
solitude,samotność
stereotype,stereotyp
struggle,walka
superficial,powierzchowny
valor,męstwo
